null_pct,mode,strategy,event,asset,method,final_return_pct,bah_pct,delta_pct,alarm_rate,days_in_market,n_endpoints,start_date,end_date,first_alarm,lead_days
0.91,far0.05,defensive,COVID-19,GOLD,DSV,26.203704,26.320203,-0.116499,0.280822,0.717241,146,2020-01-16,2020-08-13,2020-03-05,-10.0
0.735,far0.05,first_alarm,COVID-19,GOLD,DSV,7.579085,26.320203,-18.741119,0.280822,0.227586,146,2020-01-16,2020-08-13,2020-03-05,-10.0
1.0,far0.05,persist,COVID-19,GOLD,DSV,31.595571,26.320203,5.275368,0.280822,0.606897,146,2020-01-16,2020-08-13,2020-03-05,-10.0
0.5,far0.05,defensive,COVID-19,GOLD,DAG,26.320203,26.320203,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,first_alarm,COVID-19,GOLD,DAG,26.320203,26.320203,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.05,persist,COVID-19,GOLD,DAG,26.320203,26.320203,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.6725,far0.05,defensive,COVID-19,GOLD,OMNI,16.411637,26.320203,-9.908567,0.369863,0.634483,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.5,far0.05,first_alarm,COVID-19,GOLD,OMNI,0.0,26.320203,-26.320203,0.369863,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.9575,far0.05,persist,COVID-19,GOLD,OMNI,21.286859,26.320203,-5.033344,0.369863,0.551724,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.0,far0.05,defensive,COVID-19,GOLD,USAD,16.208171,26.320203,-10.112033,0.116438,0.882759,146,2020-01-16,2020-08-13,2020-02-18,2.0
0.515,far0.05,first_alarm,COVID-19,GOLD,USAD,3.292447,26.320203,-23.027757,0.116438,0.144828,146,2020-01-16,2020-08-13,2020-02-18,2.0
0.6125,far0.05,persist,COVID-19,GOLD,USAD,20.732812,26.320203,-5.587391,0.116438,0.834483,146,2020-01-16,2020-08-13,2020-02-18,2.0
0.805,far0.05,defensive,COVID-19,GOLD,TR,5.246675,26.320203,-21.073528,0.910959,0.089655,146,2020-01-16,2020-08-13,2020-01-16,23.0
