episode,asset,method,mapping,n_windows,n_positive,n_negative,prevalence,auc,pr_auc,pr_auc_random,rank_metrics_valid,shipped_TP,shipped_FP,shipped_FN,shipped_TN,shipped_precision,shipped_recall,shipped_f1,shipped_balanced_acc,shipped_accuracy,shipped_fpr,far_tau,far_control,matched_TP,matched_FP,matched_FN,matched_TN,matched_precision,matched_recall,matched_f1,matched_balanced_acc,matched_accuracy,matched_fpr
Iran 2026,USOIL,standalone_fanogan,exponential,37,18,19,0.4865,0.0234,0.312,0.4865,False,0,11,18,8,0.0,0.0,,0.2105,0.2162,0.5789,0.3991,0.0938,0.0,5.0,18.0,14.0,0.0,0.0,,0.3684,0.3784,0.2632
Iran 2026,GOLD,standalone_fanogan,exponential,37,18,19,0.4865,0.0848,0.3242,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.2309,0.0938,0.0,1.0,18.0,18.0,0.0,0.0,,0.4737,0.4865,0.0526
Iran 2026,EURUSD,standalone_fanogan,exponential,41,20,21,0.4878,0.0119,0.3103,0.4878,False,0,1,20,20,0.0,0.0,,0.4762,0.4878,0.0476,0.2059,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,tranad,exponential,37,18,19,0.4865,0.0146,0.3109,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,0.0344,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,tranad,exponential,37,18,19,0.4865,0.3743,0.4348,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.034,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,tranad,exponential,41,20,21,0.4878,0.6048,0.7129,0.4878,False,0,0,20,21,,0.0,,0.5,0.5122,0.0,0.0271,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,usad,exponential,37,18,19,0.4865,0.3655,0.4611,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,1.6823,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,usad,exponential,37,18,19,0.4865,0.4737,0.4773,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,1.5027,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,usad,exponential,41,20,21,0.4878,0.3357,0.4761,0.4878,False,2,2,18,19,0.5,0.1,0.1667,0.5024,0.5122,0.0952,1.5211,0.0985,3.0,4.0,17.0,17.0,0.4286,0.15,0.2222,0.4798,0.4878,0.1905
Iran 2026,USOIL,vae,exponential,37,18,19,0.4865,0.2661,0.3886,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.6237,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
